Latitude_dn3,Longitude_dn3,Latitude_dn1,Longitude_dn1,WifiStrength_dn3todn1,WifiStrength_dn1todn3,Distance (meters)
13.192451667,-59.642501667,13.192428333,-59.642638333,42,42,15.2160222065
13.192455,-59.642506667,13.192431667,-59.642646667,47,42,15.0381413939
13.192453333,-59.642513333,13.192435,-59.642653333,56,47,15.5421987468
13.192455,-59.642516667,13.192438333,-59.64266,23,56,15.4890505919
13.192455,-59.642518333,13.192443333,-59.642666667,26,23,16.0038312149
13.192456667,-59.642525,13.192446667,-59.642675,46,26,16.1288584973
13.192455,-59.642536667,13.192451667,-59.642686667,47,47,16.2952215725
13.192455,-59.642545,13.192458333,-59.6427,60,60,16.2613872116
13.192458333,-59.642551667,13.192461667,-59.64271,26,26,16.8031555894
13.192461667,-59.642561667,13.192461667,-59.642718333,23,23,17.3449348637
13.192465,-59.642566667,13.192465,-59.642723333,46,46,17.1602923196
13.192468333,-59.64257,13.19247,-59.642728333,43,43,16.9806349828
13.192473333,-59.642581667,13.192478333,-59.642736667,46,46,16.980743125
13.19248,-59.64259,13.192488333,-59.642746667,46,10,16.995940261
13.192485,-59.642596667,13.192496667,-59.642756667,44,44,17.0292175751
13.192493333,-59.642606667,13.192505,-59.64277,26,26,17.2093591623
13.1925,-59.64262,13.192511667,-59.64278,44,44,17.3895283437
13.192505,-59.642633333,13.192515,-59.642788333,44,44,17.1963576566
13.192508333,-59.64264,13.192523333,-59.6428,42,26,17.016177293
13.192513333,-59.642646667,13.19253,-59.642808333,26,42,17.4399315177
13.192516667,-59.642658333,13.192538333,-59.642816667,23,23,17.6868447096
13.192521667,-59.64266,13.192548333,-59.642823333,23,23,17.3558548025
13.192528333,-59.642671667,13.192556667,-59.642831667,47,47,17.7712989782
13.192535,-59.64268,13.19256,-59.64284,42,42,17.771210125
13.192538333,-59.642688333,13.19256,-59.642848333,10,10,17.5344034901
13.192543333,-59.642695,13.192563333,-59.642858333,46,46,17.6625087996
13.192548333,-59.642703333,13.192568333,-59.642866667,42,42,17.8657356103
13.19255,-59.642713333,13.192575,-59.642873333,26,44,17.6867499169
13.192556667,-59.642725,13.192578333,-59.642878333,44,44,17.5344024363
13.192558333,-59.642731667,13.192583333,-59.642886667,0,0,16.9986652448
13.19256,-59.642743333,13.192585,-59.642893333,23,23,17.2371548312
13.192566667,-59.642751667,13.192586667,-59.642901667,0,0,16.4936267856
13.192576667,-59.642761667,13.192588333,-59.642908333,43,23,16.1831814426
13.192581667,-59.64277,13.192595,-59.642918333,43,43,15.7851725952
13.192585,-59.642778333,13.192601667,-59.642926667,42,42,16.3426721913
13.192591667,-59.642786667,13.192606667,-59.642931667,44,44,16.3426718605
13.192595,-59.642795,13.192613333,-59.642936667,42,42,15.8036995974
13.192595,-59.642808333,13.192618333,-59.642941667,26,42,15.4890406289
13.192596667,-59.642816667,13.192625,-59.642948333,42,42,14.8601891825
13.192601667,-59.64282,13.192633333,-59.642953333,23,23,14.8316251192
13.19261,-59.642833333,13.192638333,-59.642956667,56,56,14.6990188749
13.192611667,-59.642838333,13.192645,-59.642961667,0,43,13.9531597969
13.192611667,-59.642848333,13.192651667,-59.642965,42,42,13.8725445974
13.192611667,-59.642851667,13.192656667,-59.64297,42,42,13.5761376061
13.192613333,-59.64286,13.19266,-59.642973333,0,0,13.3647465854
13.192611667,-59.642868333,13.192661667,-59.64298,46,46,13.2653321357
13.192616667,-59.642876667,13.192665,-59.642986667,43,43,13.1571845309
13.19262,-59.642885,13.19267,-59.642993333,43,43,12.9153982539
13.192625,-59.642888333,13.192673333,-59.642998333,0,0,12.9152995064
13.192631667,-59.642895,13.192676667,-59.643001667,10,10,13.0045291865
13.192638333,-59.642906667,13.192681667,-59.643008333,23,23,12.6740905783
13.19264,-59.64291,13.192683333,-59.643016667,43,43,12.0284285455
13.192643333,-59.642918333,13.192688333,-59.643026667,7,7,12.693516877
13.192645,-59.642928333,13.192691667,-59.643036667,42,46,12.7651903582
13.192648333,-59.642941667,13.192695,-59.64305,44,44,12.6742344892
13.192651667,-59.642955,13.192703333,-59.643063333,0,0,12.8392449823
13.192655,-59.642965,13.192711667,-59.643071667,56,10,13.3183833716
13.192661667,-59.642971667,13.192716667,-59.64308,10,10,13.4879178481
13.192666667,-59.642978333,13.19272,-59.64309,43,43,13.3184324126
13.192673333,-59.642988333,13.192723333,-59.643095,0,23,13.3183826427
13.192675,-59.642998333,13.19273,-59.643103333,44,44,12.9123052069
13.192681667,-59.64301,13.192741667,-59.643113333,23,23,12.8536793125
13.192686667,-59.643016667,13.192746667,-59.643121667,0,26,13.102314678
13.192688333,-59.643026667,13.192751667,-59.64312,43,43,13.1357312607
13.19269,-59.643036667,13.192765,-59.64313,43,43,12.4786279466
13.192693333,-59.643043333,13.19277,-59.643136667,23,23,13.1159444088
13.192695,-59.64305,13.192776667,-59.643141667,42,42,13.2190224282
13.192698333,-59.643058333,13.192781667,-59.643145,44,44,13.466660207
13.192705,-59.643065,13.192785,-59.64315,23,23,13.0737121155
13.19271,-59.643073333,13.192788333,-59.643155,46,46,12.8131159966
13.192713333,-59.643083333,13.192791667,-59.643161667,26,26,12.1660411951
13.192716667,-59.64309,13.192795,-59.643168333,47,19,12.1702115762
13.19272,-59.643096667,13.192793333,-59.64318,23,23,12.0380269065
13.192723333,-59.643106667,13.192791667,-59.643191667,42,42,12.4327077871
13.192726667,-59.643116667,13.192793333,-59.643205,47,47,11.9287001798
13.192731667,-59.64313,13.1928,-59.643211667,10,42,11.9710032916
13.192735,-59.643133333,13.192805,-59.643216667,23,23,11.8082319423
13.192735,-59.643138333,13.19281,-59.643223333,23,23,11.5506011901
13.192736667,-59.643146667,13.192816667,-59.643235,47,38,12.4261443125
13.192738333,-59.643151667,13.192821667,-59.643245,0,0,13.0752455349
13.192745,-59.643158333,13.192826667,-59.643255,42,10,13.7353217518
13.192743333,-59.643166667,13.19283,-59.643265,23,23,13.8885172392
13.192746667,-59.643178333,13.192836667,-59.643276667,26,26,14.2422617255
13.192753333,-59.643185,13.192843333,-59.643286667,26,26,14.7593499916
13.192755,-59.643191667,13.192846667,-59.643295,43,43,14.8925250942
13.192758333,-59.643203333,13.19285,-59.643306667,26,26,14.7593497215
13.192761667,-59.64321,13.192851667,-59.643325,44,44,15.5558966829
13.192766667,-59.643216667,13.19285,-59.643338333,26,26,15.8757329179
13.192771667,-59.643226667,13.192851667,-59.643348333,23,23,16.1223975254
13.192775,-59.643233333,13.192853333,-59.643356667,23,23,16.0618518242
13.192778333,-59.643241667,13.192856667,-59.643363333,42,42,15.959710286
13.192785,-59.64325,13.192861667,-59.643373333,26,26,15.7071639259
13.192786667,-59.643258333,13.192865,-59.643385,0,47,15.8591419212
13.192788333,-59.643263333,13.192866667,-59.643395,42,42,16.0117160971
13.192793333,-59.643273333,13.192866667,-59.643403333,42,42,16.5696597101
13.192796667,-59.643285,13.192868333,-59.64341,10,10,16.2222134233
13.192803333,-59.643291667,13.192868333,-59.643418333,10,10,15.7856218582
13.19281,-59.6433,13.19287,-59.643426667,26,26,15.4327677356
13.192813333,-59.643305,13.192873333,-59.643438333,0,0,15.1045833482
13.192818333,-59.643316667,13.192873333,-59.643443333,23,23,15.9983305226
13.19282,-59.643323333,13.192871667,-59.643446667,10,10,14.8668455073
13.192823333,-59.643331667,13.192871667,-59.643446667,7,7,14.5518982262
13.192828333,-59.643345,13.192871667,-59.643446667,0,0,13.5755617895
13.192828333,-59.643353333,13.192873333,-59.643446667,26,26,12.0284207003
13.192833333,-59.64337,13.192873333,-59.643446667,0,0,11.0440946844
13.192835,-59.64338,13.192873333,-59.643448333,23,23,9.11030948984
13.192835,-59.64339,13.192873333,-59.643451667,0,0,8.39131010795
13.192836667,-59.6434,13.192873333,-59.643463333,23,23,7.92949462184
13.192838333,-59.64341,13.192878333,-59.643473333,42,42,7.89276325165
13.192841667,-59.643421667,13.192885,-59.643486667,23,20,8.13532393415
13.192845,-59.643433333,13.192893333,-59.6435,23,23,8.60838516494
13.19285,-59.643445,13.192901667,-59.64352,42,42,8.83724209677
13.192853333,-59.643455,13.192906667,-59.643541667,44,44,10.1055153682
13.19286,-59.643461667,13.192908333,-59.643558333,0,0,11.1684277372
13.19286,-59.643471667,13.19291,-59.643586667,0,0,12.023413357
13.192861667,-59.643485,13.192915,-59.643605,42,42,13.4853577826
13.192865,-59.643495,13.192921667,-59.643618333,44,44,14.4547715664
13.19287,-59.643506667,13.192928333,-59.643628333,42,42,14.9441745414
